file_path,filename,state,condition,sample_rate,duration_s,channels,tier1_label,tier1_name,tier2_label,tier2_name,tier3_label,tier3_name
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_25.wav,mix_25.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_80.wav,mix_80.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_30.wav,normal_engine_startup_30.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_110.wav,serpentine_belt_110.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_225.wav,normal_engine_idle_225.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/power_steering/power_steering_85.wav,power_steering_85.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_51.wav,mix_51.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_55.wav,bad_ignition_55.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_2.wav,serpentine_belt_2.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_24.wav,mix_24.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_94.wav,mix_94.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_38.wav,worn_out_brakes_38.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_24.wav,mix_24.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_40.wav,normal_engine_idle_40.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_21.wav,mix_21.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/power_steering/power_steering_12.wav,power_steering_12.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_34.wav,mix_34.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/power_steering/power_steering_13.wav,power_steering_13.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_9.wav,bad_ignition_9.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_40.wav,normal_engine_startup_40.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_102.wav,mix_102.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_179.wav,normal_engine_idle_179.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_114.wav,serpentine_belt_114.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/startup state/dead_battery/dead_battery_24.wav,dead_battery_24.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/power_steering/power_steering_15.wav,power_steering_15.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_88.wav,normal_engine_idle_88.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_69.wav,serpentine_belt_69.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_16.wav,normal_engine_idle_16.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_38.wav,mix_38.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_20.wav,mix_20.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_24.wav,worn_out_brakes_24.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_94.wav,mix_94.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/power_steering/power_steering_95.wav,power_steering_95.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_142.wav,normal_engine_idle_142.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_17.wav,normal_brakes_17.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_3.wav,normal_engine_idle_3.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/low_oil/low_oil_67.wav,low_oil_67.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_48.wav,mix_48.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_260.wav,normal_engine_idle_260.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/low_oil/low_oil_60.wav,low_oil_60.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/low_oil/low_oil_31.wav,low_oil_31.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_23.wav,normal_engine_startup_23.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_39.wav,serpentine_belt_39.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_39.wav,mix_39.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_68.wav,mix_68.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_107.wav,mix_107.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_77.wav,serpentine_belt_77.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_206.wav,normal_engine_idle_206.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_61.wav,mix_61.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_50.wav,worn_out_brakes_50.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_98.wav,normal_engine_idle_98.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/low_oil/low_oil_18.wav,low_oil_18.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_65.wav,mix_65.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_52.wav,mix_52.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/bad_ignition/bad_ignition_5.wav,bad_ignition_5.wav,startup state,bad_ignition,44100,1.7,1,1,Anomaly,5,Start-Up Fault,7,Bad Ignition
car_diagnostics_dataset/idle state/power_steering/power_steering_115.wav,power_steering_115.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_54.wav,worn_out_brakes_54.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_7.wav,normal_brakes_7.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_118.wav,normal_engine_idle_118.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_57.wav,normal_engine_startup_57.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_55.wav,mix_55.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_66.wav,mix_66.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_22.wav,mix_22.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_32.wav,worn_out_brakes_32.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_41.wav,mix_41.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_26.wav,low_oil_26.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_210.wav,normal_engine_idle_210.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_85.wav,serpentine_belt_85.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_72.wav,mix_72.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_22.wav,worn_out_brakes_22.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_13.wav,mix_13.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_40.wav,low_oil_40.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_160.wav,normal_engine_idle_160.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_49.wav,mix_49.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_86.wav,serpentine_belt_86.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/startup state/dead_battery/dead_battery_46.wav,dead_battery_46.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/low_oil/low_oil_30.wav,low_oil_30.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/low_oil/low_oil_69.wav,low_oil_69.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/startup state/dead_battery/dead_battery_50.wav,dead_battery_50.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_15.wav,mix_15.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_73.wav,serpentine_belt_73.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/low_oil/low_oil_95.wav,low_oil_95.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_5.wav,mix_5.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_49.wav,mix_49.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_47.wav,mix_47.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_15.wav,normal_engine_startup_15.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_32.wav,normal_engine_idle_32.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_37.wav,mix_37.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_227.wav,normal_engine_idle_227.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_33.wav,mix_33.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_91.wav,normal_engine_idle_91.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_30.wav,normal_engine_idle_30.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_43.wav,mix_43.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_102.wav,low_oil_102.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_37.wav,normal_engine_startup_37.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_28.wav,mix_28.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil/mix_107.wav,mix_107.wav,idle state,combined/power steering combined_no oil,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_99.wav,mix_99.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_48.wav,normal_engine_idle_48.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_102.wav,mix_102.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/low_oil/low_oil_21.wav,low_oil_21.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/startup state/dead_battery/dead_battery_15.wav,dead_battery_15.wav,startup state,dead_battery,44100,1.7,1,1,Anomaly,5,Start-Up Fault,8,Dead Battery
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_64.wav,worn_out_brakes_64.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_36.wav,mix_36.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_73.wav,mix_73.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/power_steering/power_steering_35.wav,power_steering_35.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/startup state/normal_engine_startup/normal_engine_startup_44.wav,normal_engine_startup_44.wav,startup state,normal_engine_startup,44100,1.7,1,0,Normal,4,Normal Start-Up,6,Normal Start-Up
car_diagnostics_dataset/braking state/worn_out_brakes/worn_out_brakes_45.wav,worn_out_brakes_45.wav,braking state,worn_out_brakes,44100,1.5,1,1,Anomaly,1,Braking Fault,1,Worn Brakes
car_diagnostics_dataset/idle state/serpentine_belt/serpentine_belt_44.wav,serpentine_belt_44.wav,idle state,serpentine_belt,44100,1.5,1,1,Anomaly,3,Idle Fault,5,Serpentine Belt Fault
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_6.wav,mix_6.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_16.wav,mix_16.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_32.wav,normal_brakes_32.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_53.wav,mix_53.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_37.wav,normal_brakes_37.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/power_steering/power_steering_122.wav,power_steering_122.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_166.wav,normal_engine_idle_166.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/power_steering/power_steering_60.wav,power_steering_60.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/idle state/combined/power steering combined_serpentine belt/mix_63.wav,mix_63.wav,idle state,combined/power steering combined_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_12.wav,mix_12.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_77.wav,normal_brakes_77.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/combined/no oil_serpentine belt/mix_85.wav,mix_85.wav,idle state,combined/no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_11.wav,normal_brakes_11.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/power_steering/power_steering_23.wav,power_steering_23.wav,idle state,power_steering,44100,1.5,1,1,Anomaly,3,Idle Fault,4,Power Steering Fault
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_63.wav,normal_brakes_63.wav,braking state,normal_brakes,24000,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/low_oil/low_oil_44.wav,low_oil_44.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/idle state/low_oil/low_oil_33.wav,low_oil_33.wav,idle state,low_oil,44100,1.5,1,1,Anomaly,3,Idle Fault,3,Low Oil
car_diagnostics_dataset/braking state/normal_brakes/normal_brakes_33.wav,normal_brakes_33.wav,braking state,normal_brakes,44100,1.5,1,0,Normal,0,Normal Braking,0,Normal Braking
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_52.wav,normal_engine_idle_52.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
car_diagnostics_dataset/idle state/combined/power steering combined_no oil_serpentine belt/mix_79.wav,mix_79.wav,idle state,combined/power steering combined_no oil_serpentine belt,44100,1.5,1,1,Anomaly,3,Idle Fault,-1,EXCLUDED
car_diagnostics_dataset/idle state/normal_engine_idle/normal_engine_idle_44.wav,normal_engine_idle_44.wav,idle state,normal_engine_idle,44100,1.5,1,0,Normal,2,Normal Idle,2,Normal Idle
